uri|name|danceability|energy|loudness|speechiness|acousticness|instrumentalness|liveness|valence|tempo|duration_ms|popularity|explicit|album_name|artist_name_1|artist_uri_1|artist_name_2|artist_uri_2|release_album_date
spotify:track:7zgqtptZvhf8GEmdsM2vp2|...Ready For It?|0.615|0.779|-6.454|0.135|0.0665|0.0|0.155|0.453|160.0|208198|0|False|...Ready For It?|Taylor Swift|spotify:artist:06HL4z0CvFAxyc27GXpf02|||2017-09-03
spotify:track:4Vxu50qVrQcycjRyJQaZLC|Life Changes|0.687|0.845|-4.37|0.0576|0.1|0.0|0.0452|0.809|87.972|190226|66|False|Life Changes|Thomas Rhett|spotify:artist:6x2LnllRG5uGarZMsD4iO8|||2017-09-08
spotify:track:6b8Be6ljOzmkOmFslEb23P|24K Magic|0.818|0.803|-4.282|0.0797|0.034|0.0|0.153|0.632|106.97|225983|82|False|24K Magic|Bruno Mars|spotify:artist:0du5cEVh5yTK9QJze8zA0C|||2016-11-17
spotify:track:0afhq8XCExXpqazXczTSve|Galway Girl|0.624|0.876|-3.374|0.1|0.0735|0.0|0.327|0.781|99.943|170826|81|False|÷ (Deluxe)|Ed Sheeran|spotify:artist:6eUKZXaKkcviH0Ku9w2n3V|||2017-03-03
spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL|Photograph|0.614|0.379|-10.48|0.0476|0.607|0.000464|0.0986|0.201|107.989|258986|87|False|x (Deluxe Edition)|Ed Sheeran|spotify:artist:6eUKZXaKkcviH0Ku9w2n3V|||2014-06-21
spotify:track:0ofbQMrRDsUaVKq2mGLEAb|Havana (feat. Young Thug)|0.768|0.517|-4.323|0.0312|0.186|3.8e-05|0.104|0.418|104.992|216896|2|False|Havana (feat. Young Thug)|Camila Cabello|spotify:artist:4nDoRrQiYLoBzwC5BhVJzF|Young Thug|spotify:artist:50co4Is1HCEo8bhOyUWKpn|2017-08-03
spotify:track:0nJW01T7XtvILxQgC5J7Wh|When I Was Your Man|0.612|0.28|-8.648|0.0434|0.932|0.0|0.088|0.387|72.795|213826|87|False|Unorthodox Jukebox|Bruno Mars|spotify:artist:0du5cEVh5yTK9QJze8zA0C|||2012-12-07
spotify:track:6C2PfemHQul77DVpnvuAIs|Gonna Fly Now|0.415|0.538|-12.71|0.0368|0.4|0.767|0.0674|0.449|95.121|170240|59|False|Rocky III: Music From The Motion Picture|Bill Conti|spotify:artist:272ygo5fv9cYsiCLcV0HV2|||1982-01-01
spotify:track:3PGdPUMdUg7a3Tgr5gkfKK|Don't Wanna Know (feat. Kendrick Lamar)|0.776|0.62|-6.198|0.067|0.341|0.0|0.0978|0.427|100.025|214265|0|False|Red Pill Blues (Deluxe)|Maroon 5|spotify:artist:04gDigrS5kc9YWfZHwBETP|Kendrick Lamar|spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg|2017-11-03
spotify:track:34gCuhDGsG4bRPIf9bb02f|Thinking out Loud|0.781|0.445|-6.061|0.0295|0.474|0.0|0.184|0.591|78.998|281560|86|False|x (Deluxe Edition)|Ed Sheeran|spotify:artist:6eUKZXaKkcviH0Ku9w2n3V|||2014-06-21
